,BuurtCode,Neighborhood,TotalResidents,Age 0-15,% age 0-15,Age 65+,%Age 65+,AverageSizeofHoushold,Population Density,Building year before 2000,Building year after 2000,woning,horeca,winkel,bedrijf_en_kantoor,kerk_en_gebedsruimte,cultuur_en_musea,medisch,bejaardenhuis_tehuis_en_bijzondere_woonfunctie,kinderdagverblijf_en_basisschool,middelbaar_en_speciaal_onderwijs,beroeps_en_wetenschappelijk_onderwijs,garage_en_parkeerplaats,nr_of_rent,nr_of_possession,avg_construction_year,time_of_change,nr_of_tussengebouw,nr_of_hoekgebouw,nr_of_vrijstaandgebouw,nr_of_half_vrijstaandgebouw,nr_of_kopgebouw,nr_of_situation_anders,avg_nr_of_accomodations_in_building,avg_nr_of_res_accomodations_in_building,floorsize_accomodation,nr_of_monuments,incident,nr_of_inspections_within_timeline,nr_of_inspections_with_observation,nr_of_inspections_without_observation,industrie,sport,x,y,lon,lat,gem_gas_woning,gem_gas_woning_cor,gem_elektriciteit_woning,gem_gas_bedrijf,gem_elektriciteit_bedrijf,potent_pand_asbest,gebouwen_gebruik_gas,meer_reg_woning,meer_reg_industrie,hoge_gas_verbruik,hoge_asbest_buurt,hoge_dichtheid_buurt,industrie_buurt,industriegebied,env_effect,Supermarkt,Verzorghuizen,Museum
0,BU03630000,Kop Zeedijk,1110.0,45.0,4.054054054054054,100.0,9.00900900900901,     1.4,   18349,96,4,162.0,120.0,29.0,18.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,5.0,195.0,57.0,1365.0,31/12/9999,231.0,56.0,0.0,0.0,0.0,56.0,11.0,5.0,1716.0,20.0,3.0,51.0,27.0,24.0,20.0,0.0,121824.7403609802,487631.55415645614,4.900018014693686,52.375552611526864,791.0,918.0,1695.0,3402.0,17082.0,19.0,1035.0,743.0,10.0,0.0,1.0,0.0,1.0,1.0,3.0,,,
1,BU03630001,Oude Kerk e.o.,695.0,20.0,2.877697841726619,70.0,10.071942446043163,     1.4,    7910,87,13,101.0,43.0,24.0,73.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,150.0,33.0,1335.0,31/12/9999,144.0,51.0,0.0,0.0,0.0,61.0,17.0,8.0,117.0,23.0,8.0,107.0,55.0,52.0,106.0,0.0,121595.37167723668,487447.8895458664,4.896668064847112,52.3738880592752,732.0,850.0,1591.0,5048.0,31608.0,32.0,765.0,513.0,102.0,0.0,1.0,0.0,1.0,1.0,3.0,,,
2,BU03630002,Burgwallen Oost,1645.0,90.0,5.47112462006079,180.0,10.94224924012158,     1.4,   26460,96,4,274.0,47.0,53.0,73.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,298.0,99.0,1148.0,31/12/9999,369.0,89.0,0.0,0.0,0.0,18.0,9.0,4.0,86.0,12.0,8.0,56.0,26.0,30.0,41.0,0.0,121736.89010314208,487329.8444795082,4.898757833101093,52.37283574357924,901.0,1045.0,1816.0,2571.0,12513.0,25.0,1459.0,1027.0,32.0,0.0,1.0,1.0,1.0,1.0,4.0,,,
3,BU03630003,Nes e.o.,365.0,25.0,6.849315068493151,30.0,8.21917808219178,     1.5,    6883,98,2,53.0,48.0,41.0,74.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,111.0,29.0,1295.0,31/12/9999,116.0,83.0,4.0,1.0,1.0,5.0,8.0,4.0,442.0,69.0,5.0,73.0,40.0,33.0,12.0,0.0,121415.08560356346,487117.4927639198,4.894053728908687,52.37090769233853,882.0,1021.0,1745.0,4927.0,30261.0,4.0,425.0,240.0,3.0,0.0,0.0,0.0,1.0,1.0,2.0,,,
4,BU03630004,BG-terrein e.o.,690.0,40.0,5.797101449275362,80.0,11.594202898550725,     1.4,    8161,100,0,97.0,18.0,8.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,1.0,97.0,32.0,1274.0,31/12/9999,114.0,31.0,0.0,0.0,0.0,2.0,10.0,5.0,680.0,32.0,3.0,95.0,50.0,45.0,8.0,0.0,121534.1425321101,487008.0129119266,4.8958127682752295,52.36993103040367,954.0,1108.0,1880.0,4356.0,24764.0,0.0,515.0,367.0,4.0,0.0,0.0,0.0,1.0,1.0,2.0,,,
5,BU03630100,Stationsplein e.o.,5.0,5.0,100.0,0.0,0.0,     1.8,       .,,,0.0,13.0,65.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,1904.0,31/12/9999,1.0,70.0,9.0,0.0,0.0,18.0,94.0,49.0,202.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,121846.07406626506,488007.7308493976,4.900294169939759,52.37893470680723,0.0,0.0,0.0,0.0,356175.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,,14.0
6,BU03630101,Hemelrijk,555.0,25.0,4.504504504504505,40.0,7.207207207207207,     1.4,   10097,99,1,116.0,44.0,22.0,48.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,164.0,32.0,1173.0,31/12/9999,173.0,52.0,0.0,0.0,0.0,10.0,9.0,5.0,127.0,33.0,2.0,61.0,23.0,38.0,11.0,0.0,121453.4908338658,487889.6934169329,4.894540558099042,52.37785002816294,838.0,973.0,1688.0,3549.0,31234.0,23.0,618.0,397.0,8.0,0.0,1.0,0.0,1.0,1.0,3.0,14.0,,14.0
7,BU03630102,Nieuwendijk Noord,450.0,15.0,3.333333333333333,20.0,4.444444444444445,     1.3,    8171,97,3,114.0,39.0,60.0,15.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,149.0,23.0,1382.0,31/12/9999,139.0,75.0,0.0,0.0,0.0,12.0,12.0,6.0,188.0,51.0,5.0,32.0,18.0,14.0,17.0,0.0,121564.15224440298,487765.962,4.896177979440298,52.37674477087686,847.0,983.0,1802.0,4073.0,30266.0,10.0,525.0,324.0,14.0,0.0,1.0,0.0,1.0,1.0,3.0,14.0,,14.0
8,BU03630103,Spuistraat Noord,805.0,30.0,3.7267080745341614,70.0,8.695652173913043,     1.4,   16036,100,0,146.0,23.0,48.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,167.0,52.0,1256.0,31/12/9999,228.0,46.0,0.0,0.0,0.0,0.0,10.0,5.0,241.0,51.0,4.0,72.0,39.0,33.0,21.0,0.0,121255.83632869784,487643.471664981,4.891662639266751,52.37562505279393,912.0,1061.0,2041.0,2924.0,21120.0,1.0,781.0,533.0,19.0,0.0,0.0,0.0,1.0,1.0,2.0,14.0,,14.0
9,BU03630104,Nieuwe Kerk e.o.,765.0,45.0,5.88235294117647,45.0,5.88235294117647,     1.5,    9120,97,3,130.0,65.0,122.0,40.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,251.0,36.0,1270.0,31/12/9999,218.0,128.0,1.0,0.0,4.0,10.0,11.0,6.0,369.0,36.0,5.0,100.0,58.0,42.0,15.0,0.0,121390.74373733804,487574.0230270907,4.893650661189635,52.37500917060071,734.0,852.0,1689.0,4389.0,34080.0,4.0,807.0,488.0,10.0,0.0,0.0,0.0,1.0,1.0,2.0,14.0,,14.0
