,perceelid,perceeltype,huisnr,huisnr_bag_letter,huisnr_bag_toevoeging,bag_nummeraanduidingid,bag_adresseerbaarobjectid,lat,lon,rdx,rdy,oppervlakte,gebruiksdoel,reeksid
306391,307477,verblijfsobject,93,,1,363200000191405.0,363010000730483.0,52.35096638,4.89737357,121626.0,484897.0,49,woonfunctie,14548
306392,307478,verblijfsobject,93,,2,363200000191406.0,363010000730484.0,52.35096638,4.89737357,121626.0,484897.0,53,woonfunctie,14548
306393,307479,verblijfsobject,93,,3,363200000191407.0,363010000730485.0,52.35096638,4.89737357,121626.0,484897.0,53,woonfunctie,14548
306394,307480,verblijfsobject,93,,H,363200000191404.0,363010000730482.0,52.35096638,4.89737357,121626.0,484897.0,53,woonfunctie,14548
306395,307481,verblijfsobject,95,,1,363200000191410.0,363010000730489.0,52.35098478,4.89747611,121633.0,484899.0,51,woonfunctie,14548
306396,307482,verblijfsobject,95,,2,363200000191411.0,363010000730490.0,52.35098478,4.89747611,121633.0,484899.0,55,woonfunctie,14548
306397,307483,verblijfsobject,95,,3,363200000191412.0,363010000730491.0,52.35098478,4.89747611,121633.0,484899.0,53,woonfunctie,14548
306398,307484,verblijfsobject,95,,H,363200000191409.0,363010000730487.0,52.35098478,4.89747611,121633.0,484899.0,53,woonfunctie,14548
306399,307485,verblijfsobject,97,,1,363200000191418.0,363010000730497.0,52.35099413,4.89756407,121639.0,484900.0,51,woonfunctie,14548
306400,307486,verblijfsobject,97,,2,363200000191419.0,363010000730498.0,52.35099413,4.89756407,121639.0,484900.0,55,woonfunctie,14548
306401,307487,verblijfsobject,97,,3,363200000191420.0,363010000730499.0,52.35099413,4.89756407,121639.0,484900.0,53,woonfunctie,14548
306402,307488,verblijfsobject,97,,H,363200000191417.0,363010000730496.0,52.35099413,4.89756407,121639.0,484900.0,50,woonfunctie,14548
306403,307489,verblijfsobject,99,,,363200000191422.0,363010000730501.0,52.35100354,4.89766671,121646.0,484901.0,87,bijeenkomstfunctie,14548
306589,307675,verblijfsobject,118,A,,363200000191470.0,363010000730542.0,52.35078657,4.89736088,121625.0,484877.0,57,woonfunctie,14556
306590,307676,verblijfsobject,118,B,,363200000191471.0,363010000730543.0,52.35077759,4.89736098,121625.0,484876.0,53,woonfunctie,14556
306592,307678,verblijfsobject,118,D,,363200000191473.0,363010000730545.0,52.35076854,4.8973464,121624.0,484875.0,54,woonfunctie,14556
306593,307679,verblijfsobject,120,,,363200000191478.0,363010000730546.0,52.35077783,4.89741969,121629.0,484876.0,61,woonfunctie,14556
306594,307680,verblijfsobject,122,,,363200000191483.0,363010000730553.0,52.35077783,4.89741969,121629.0,484876.0,111,woonfunctie,14556
306595,307681,verblijfsobject,124,A,,363200000191488.0,363010000730557.0,52.35080522,4.89752212,121636.0,484879.0,73,woonfunctie,14556
306596,307682,verblijfsobject,124,B,,363200000191489.0,363010000730558.0,52.35080522,4.89752212,121636.0,484879.0,95,woonfunctie,14556
306597,307683,verblijfsobject,126,,,363200000191494.0,363010000730560.0,52.35081439,4.89756605,121639.0,484880.0,63,woonfunctie,14556
306598,307684,verblijfsobject,128,A,,363200000191499.0,363010000730562.0,52.35082368,4.89763934,121644.0,484881.0,50,woonfunctie,14556
306599,307685,verblijfsobject,128,B,,363200000191500.0,363010000730563.0,52.35082368,4.89763934,121644.0,484881.0,59,woonfunctie,14556
