openbareruimte;huisnummer;huisletter;huisnummertoevoeging;postcode;woonplaats;gemeente;provincie;nummeraanduiding;verblijfsobjectgebruiksdoel;oppervlakteverblijfsobject;verblijfsobjectstatus;object_id;object_type;nevenadres;pandid;pandstatus;pandbouwjaar;x;y;lon;lat;verkorteopenbareruimte
Revaleiland;446;;;1014ZG;Amsterdam;Amsterdam;Noord-Holland;0363200012129838;woonfunctie;161;Verblijfsobject gevormd;0363010012127937;VBO;f;0363100012250186;Bouwvergunning verleend;2017;120595.409;489706.904;4.88175301801513;52.3941286651264;
Nieuwe Looiersstraat;71;A;;1017VB;Amsterdam;Amsterdam;Noord-Holland;0363200000535357;woonfunctie;1;Verblijfsobject in gebruik;0363010001165473;VBO;f;0363100012180330;Pand in gebruik;1005;121516;485954;4.89565126411048;52.3604571877261;
Derde Wittenburgerdwarsstraat;40;;;1018KT;Amsterdam;Amsterdam;Noord-Holland;0363200000019647;woonfunctie;69;Verblijfsobject in gebruik;0363010000556775;VBO;f;0363100012169751;Pand in gebruik;1984;123442;487351;4.92379335894988;52.3731265126493;Derde Wittenburgerdwstr
Derde Wittenburgerdwarsstraat;42;;;1018KT;Amsterdam;Amsterdam;Noord-Holland;0363200000019648;woonfunctie;53;Verblijfsobject in gebruik;0363010000556776;VBO;f;0363100012169751;Pand in gebruik;1984;123442;487351;4.92379335894988;52.3731265126493;Derde Wittenburgerdwstr
Derde Wittenburgerdwarsstraat;44;;;1018KT;Amsterdam;Amsterdam;Noord-Holland;0363200000019649;woonfunctie;53;Verblijfsobject in gebruik;0363010000556777;VBO;f;0363100012169751;Pand in gebruik;1984;123442;487351;4.92379335894988;52.3731265126493;Derde Wittenburgerdwstr
Derde Wittenburgerdwarsstraat;46;;;1018KT;Amsterdam;Amsterdam;Noord-Holland;0363200000019650;woonfunctie;53;Verblijfsobject in gebruik;0363010000556778;VBO;f;0363100012169751;Pand in gebruik;1984;123442;487351;4.92379335894988;52.3731265126493;Derde Wittenburgerdwstr
Derde Wittenburgerdwarsstraat;48;;;1018KT;Amsterdam;Amsterdam;Noord-Holland;0363200000019651;woonfunctie;74;Verblijfsobject in gebruik;0363010000556779;VBO;f;0363100012169751;Pand in gebruik;1984;123442;487351;4.92379335894988;52.3731265126493;Derde Wittenburgerdwstr
Derde Wittenburgerdwarsstraat;50;;;1018KT;Amsterdam;Amsterdam;Noord-Holland;0363200000019652;woonfunctie;75;Verblijfsobject in gebruik;0363010000556780;VBO;f;0363100012169751;Pand in gebruik;1984;123442;487351;4.92379335894988;52.3731265126493;Derde Wittenburgerdwstr
Derde Wittenburgerdwarsstraat;52;;;1018KT;Amsterdam;Amsterdam;Noord-Holland;0363200000019653;woonfunctie;73;Verblijfsobject in gebruik;0363010000556781;VBO;f;0363100012169751;Pand in gebruik;1984;123442;487351;4.92379335894988;52.3731265126493;Derde Wittenburgerdwstr
Derde Wittenburgerdwarsstraat;54;;;1018KT;Amsterdam;Amsterdam;Noord-Holland;0363200000019654;woonfunctie;74;Verblijfsobject in gebruik;0363010000556782;VBO;f;0363100012169751;Pand in gebruik;1984;123442;487351;4.92379335894988;52.3731265126493;Derde Wittenburgerdwstr
Derde Wittenburgerdwarsstraat;56;;;1018KT;Amsterdam;Amsterdam;Noord-Holland;0363200000019655;woonfunctie;40;Verblijfsobject in gebruik;0363010000556783;VBO;f;0363100012169751;Pand in gebruik;1984;123442;487351;4.92379335894988;52.3731265126493;Derde Wittenburgerdwstr
Derde Wittenburgerdwarsstraat;58;;;1018KT;Amsterdam;Amsterdam;Noord-Holland;0363200000019656;woonfunctie;40;Verblijfsobject in gebruik;0363010000556784;VBO;f;0363100012169751;Pand in gebruik;1984;123442;487351;4.92379335894988;52.3731265126493;Derde Wittenburgerdwstr
Derde Wittenburgerdwarsstraat;60;;;1018KT;Amsterdam;Amsterdam;Noord-Holland;0363200000019657;woonfunctie;40;Verblijfsobject in gebruik;0363010000556785;VBO;f;0363100012169751;Pand in gebruik;1984;123442;487351;4.92379335894988;52.3731265126493;Derde Wittenburgerdwstr
Derde Wittenburgerdwarsstraat;62;;;1018KT;Amsterdam;Amsterdam;Noord-Holland;0363200000019658;woonfunctie;66;Verblijfsobject in gebruik;0363010000556786;VBO;f;0363100012169751;Pand in gebruik;1984;123442;487351;4.92379335894988;52.3731265126493;Derde Wittenburgerdwstr
Mariëndaal;34;;;1025BV;Amsterdam;Amsterdam;Noord-Holland;0363200000196233;overige gebruiksfunctie;1;Verblijfsobject in gebruik;0363010000735257;VBO;f;0363100012067216;Pand in gebruik;1968;124722;490548;4.94230065126453;52.4019310252149;
Groen van Prinstererstraat;56;;H;1051EN;Amsterdam;Amsterdam;Noord-Holland;0363200000113477;woonfunctie;72;Verblijfsobject in gebruik;0363010000651264;VBO;f;0363100012127747;Pand in gebruik;1911;119936;488475;4.87219437779442;52.3830155150211;Groen van Prinstererstr
Nicolaas Beetsstraat;50;;4;1053RM;Amsterdam;Amsterdam;Noord-Holland;0363200000539591;woonfunctie;41;Verblijfsobject in gebruik;0363010001168946;VBO;f;0363100012161954;Pand in gebruik;1905;119441;486564;4.86512644667347;52.3658090286297;
Hendrikje Stoffelsstraat;52;;;1058GC;Amsterdam;Amsterdam;Noord-Holland;0363200000539369;woonfunctie;104;Verblijfsobject in gebruik;0363010001168481;VBO;f;0363100012238489;Pand in gebruik;2010;118026;485540;4.84446485194076;52.3565126458206;
Lakenhalstraat;16;;;1064WZ;Amsterdam;Amsterdam;Noord-Holland;0363200000473024;Standplaats;0;Plaats aangewezen;0363030001012495;STA;f;;"";;117237.225197259;486504.414907136;4.83277868940514;52.3651264247963;
Hygiëaplein;36;;1;1076RV;Amsterdam;Amsterdam;Noord-Holland;0363200000137852;woonfunctie;52;Verblijfsobject in gebruik;0363010000675883;VBO;f;0363100012145586;Pand in gebruik;1931;119292;484418;4.86316671415507;52.3465126441991;
Hygiëaplein;36;;2;1076RV;Amsterdam;Amsterdam;Noord-Holland;0363200000137853;woonfunctie;52;Verblijfsobject in gebruik;0363010000675884;VBO;f;0363100012145586;Pand in gebruik;1931;119292;484418;4.86316671415507;52.3465126441991;
Hygiëaplein;36;;3;1076RV;Amsterdam;Amsterdam;Noord-Holland;0363200000137854;woonfunctie;52;Verblijfsobject in gebruik;0363010000675885;VBO;f;0363100012145586;Pand in gebruik;1931;119292;484418;4.86316671415507;52.3465126441991;
Hygiëaplein;36;;H;1076RV;Amsterdam;Amsterdam;Noord-Holland;0363200000137851;woonfunctie;53;Verblijfsobject in gebruik;0363010000675882;VBO;f;0363100012145586;Pand in gebruik;1931;119292;484418;4.86316671415507;52.3465126441991;
Boris Pasternakstraat;563;;;1102TG;Amsterdam;Amsterdam;Noord-Holland;0363200000368484;woonfunctie;50;Verblijfsobject in gebruik;0363010000911175;VBO;f;0363100012085602;Pand in gebruik;1984;124841;481043;4.94490144569048;52.3165126406551;
Vergulden Wagen;10;;;1111TE;Diemen;Diemen;Noord-Holland;0384200000011556;woonfunctie;156;Verblijfsobject in gebruik;0384010000008228;VBO;f;0384100000008808;Pand in gebruik;1989;126628.158;484731.652;4.97079995919944;52.3497592651264;
Minnellistraat;42;;;1325TA;Almere;Almere;Flevoland;0034200000050535;woonfunctie;82;Verblijfsobject in gebruik;0034010000042795;VBO;f;0034100000082123;Pand in gebruik;1997;145276.397;485679.122;5.24446512649329;52.3589209705172;
Dwangmolenstraat;195;;;1333GZ;Almere;Almere;Flevoland;0034200000007159;woonfunctie;59;Verblijfsobject in gebruik;0034010000029448;VBO;f;0034100000018060;Pand in gebruik;1989;147183.339;489897.601;5.27236029118072;52.3968651264313;
Middachtenlaan;16;G;;1333XR;Almere;Almere;Flevoland;0034200000090299;woonfunctie;102;Verblijfsobject in gebruik;0034010000088406;VBO;f;0034100000107318;Pand in gebruik;2015;147169.022;489263.993;5.27216470570728;52.3911703651264;
Lotusbloemweg;35;;;1338VV;Almere;Almere;Flevoland;0034200000033338;woonfunctie;123;Verblijfsobject in gebruik;0034010000070761;VBO;f;0034100000034893;Pand in gebruik;1991;147967.635;488728.533;5.28390777651264;52.3863687079496;
Rietgorsplein;169;;;1444TG;Purmerend;Purmerend;Noord-Holland;0439200000023113;woonfunctie;61;Verblijfsobject in gebruik;0439010000020071;VBO;f;0439100000002193;Pand in gebruik;1974;126166.92;503718.99;4.96239665126423;52.5203791076264;
Koperwiek;11;;;1733BA;Nieuwe Niedorp;Hollands Kroon;Noord-Holland;0412200000583585;woonfunctie;120;Verblijfsobject in gebruik;0412010000583586;VBO;f;0412100000572890;Pand in gebruik;2010;122654.116;528903.756;4.90818605815171;52.7465126444002;
Molenvaart;159;a;;1761AD;Anna Paulowna;Hollands Kroon;Noord-Holland;0366200000003253;woonfunctie;125;Verblijfsobject in gebruik;0366010000003253;VBO;f;0366100000006035;Pand in gebruik;1994;117093.259;542143.185;4.82430989169809;52.8651264199129;
Visserslaan;4;;;1815VD;Alkmaar;Alkmaar;Noord-Holland;0361200000037554;woonfunctie;88;Verblijfsobject in gebruik;0361010000037654;VBO;f;0361100000018613;Pand in gebruik;1994;110978.239;516492.038;4.73693675813921;52.6341546512647;
Rijnstraat;2;;;1823ED;Alkmaar;Alkmaar;Noord-Holland;0361200000029917;woonfunctie;107;Verblijfsobject in gebruik;0361010000030029;VBO;f;0361100000017463;Pand in gebruik;1972;112886.106;516419.35;4.76512646385588;52.6336522185877;
Brigantijn;31;;;1826BB;Alkmaar;Alkmaar;Noord-Holland;0361200000004576;woonfunctie;105;Verblijfsobject in gebruik;0361010000004670;VBO;f;0361100000103149;Pand in gebruik;1979;112708.702;518380.686;4.76225582233091;52.6512641948958;
Benedenweg;314;;;1834BE;Sint Pancras;Langedijk;Noord-Holland;0416200000229543;woonfunctie;303;Verblijfsobject in gebruik;0416010000229544;VBO;f;0416100000209733;Pand in gebruik;1970;113724;518372;4.77725940095994;52.6512640259006;
Ruiterweg;7;;;1901BH;Castricum;Castricum;Noord-Holland;0383200000011438;woonfunctie;102;Verblijfsobject in gebruik;0383010001011438;VBO;f;0383100000010502;Pand in gebruik;1960;105871.968;507360.298;4.66286512640882;52.5516554457556;
Zeestraat;79;;;1942AL;Beverwijk;Beverwijk;Noord-Holland;0375200000021405;woonfunctie;121;Verblijfsobject in gebruik;0375010000021405;VBO;f;0375100000012497;Pand in gebruik;1900;105007;499679;4.65126436174493;52.482547592321;
Dellaertlaan;73;;;1945WG;Beverwijk;Beverwijk;Noord-Holland;0375200000005287;woonfunctie;79;Verblijfsobject in gebruik;0375010000005287;VBO;f;0375100000015318;Pand in gebruik;1971;105714;501204;4.66144620294875;52.4963165126428;
Korte Poellaan;21;F;;2012VS;Haarlem;Haarlem;Noord-Holland;0392200000101312;woonfunctie;39;Verblijfsobject in gebruik (niet ingemeten);0392010000101263;VBO;f;0392100000033933;Pand in gebruik (niet ingemeten);1946;103881.02;487733.36;4.63651264133974;52.3750901670025;
Archipelstraat;73;;;2022TD;Haarlem;Haarlem;Noord-Holland;0392200000002716;industriefunctie;19;Verblijfsobject in gebruik;0392010000002716;VBO;f;0392100000016296;Pand in gebruik;1932;104916.214;490746.293;4.65126406165482;52.4022625930939;
