,buurtnaam,before_1940,1940-1959,1960-1979,1980-1999,after_2000
0, ,1,0,0,1,480
1,AMC,0,0,0,23,14
2,Aalsmeerwegbuurt Oost,1224,0,0,90,16
3,Aalsmeerwegbuurt West,1510,2,0,0,0
4,Afrikahaven,0,0,0,3,102
5,Alexanderplein e.o.,224,0,0,16,20
6,Alfa-driehoek,0,0,5,68,243
7,Amerikahaven,4,0,3,40,165
8,Amstel III deel A/B Noord,8,0,0,309,2578
9,Amstel III deel A/B Zuid,2,0,4,62,2536
10,Amstel III deel C/D Noord,22,0,0,275,217
11,Amstel III deel C/D Zuid,2,0,4,34,37
12,Amstelglorie,0,5,1,0,0
13,Amstelkwartier Noord,7,3,8,0,2014
14,Amstelkwartier West,2,0,10,196,528
15,Amstelkwartier Zuid,0,83,4,5,74
16,Amstelpark,4,0,1,16,7
17,Amstelveldbuurt,967,12,35,130,9
18,Amsterdamse Bos,33,1,34,5,18
19,Amsterdamse Poort,690,0,0,512,743
20,Andreasterrein,0,0,18,2,516
21,Anjeliersbuurt Noord,1087,33,77,297,51
22,Anjeliersbuurt Zuid,1176,58,189,730,43
23,Architectenbuurt,309,0,0,705,0
24,BG-terrein e.o.,435,0,0,104,0
25,Baanakkerspark Noord,0,0,432,0,0
26,Baanakkerspark Zuid,0,0,344,0,0
27,Balboaplein e.o.,1597,0,5,126,97
28,Banne Noordoost,0,0,1389,33,0
29,Banne Noordwest,0,0,1122,5,2
30,Banne Zuidoost,1,0,480,838,849
31,Banne Zuidwest,0,0,1291,44,459
32,Banpleinbuurt,394,0,0,6,6
33,Beatrixpark,1,0,0,0,1
34,Bedrijvencentrum Osdorp,0,0,71,2,107
35,Bedrijvencentrum Westerkwartier,24,18,16,37,35
36,Bedrijvengebied Cruquiusweg,11,19,0,4,1702
37,Bedrijvengebied Veelaan,58,4,0,118,0
38,Bedrijvengebied Zeeburgerkade,6,25,11,11,144
39,Bedrijvenpark Lutkemeer,5,0,11,3,68
40,Bedrijventerrein Hamerstraat,162,37,9,52,232
41,Bedrijventerrein Landlust,21,151,5,239,23
42,Bedrijventerrein Nieuwendammerdijk,16,6,0,55,1
43,Bedrijventerrein Schinkel,6,126,64,23,79
44,Bedrijventerrein Sloterdijk I,8,6,109,47,95
45,Beethovenbuurt,565,6,0,74,0
46,Begijnhofbuurt,611,0,14,29,2
47,Belgiëplein e.o.,0,0,0,707,0
48,Bellamybuurt Noord,1316,0,0,161,33
49,Bellamybuurt Zuid,2158,1,28,214,451
50,Bertelmanpleinbuurt,655,0,0,0,0
51,Betondorp,1969,3,40,1,2
