,Wijken en buurten,Bouwjaar voor 2000,Bouwjaar vanaf 2000
1,Kop Zeedijk,96,4
2,Oude Kerk e.o.,87,13
3,Burgwallen Oost,96,4
4,Nes e.o.,98,2
5,BG-terrein e.o.,100,0
7,Stationsplein e.o.,.,.
8,Hemelrijk,99,1
9,Nieuwendijk Noord,97,3
10,Spuistraat Noord,100,0
11,Nieuwe Kerk e.o.,97,3
12,Spuistraat Zuid,93,7
13,Begijnhofbuurt,100,0
14,Kalverdriehoek,98,2
16,Langestraat e.o.,99,1
17,Leliegracht e.o.,100,0
18,Felix Meritisbuurt,99,1
19,Leidsegracht Noord,99,1
21,Spiegelbuurt,99,1
22,Gouden Bocht,93,7
23,Van Loonbuurt,97,3
24,Amstelveldbuurt,99,1
25,Rembrandtpleinbuurt,100,0
26,Reguliersbuurt,94,6
27,Leidsegracht Zuid,100,0
29,Oosterdokseiland,4,96
30,Scheepvaarthuisbuurt,98,2
31,Rapenburg,96,4
32,Lastage,98,2
33,Nieuwmarkt,100,0
34,Uilenburg,72,28
35,Valkenburg,100,0
36,Zuiderkerkbuurt,100,0
37,Waterloopleinbuurt,96,4
39,Westerdokseiland,0,100
40,Haarlemmerbuurt Oost,99,1
41,Haarlemmerbuurt West,94,6
42,Westelijke eilanden,86,14
43,Planciusbuurt Noord,100,0
44,Planciusbuurt Zuid,100,0
46,Driehoekbuurt,98,2
47,Bloemgrachtbuurt,95,5
48,Marnixbuurt Noord,100,0
49,Zaagpoortbuurt,100,0
50,Marnixbuurt Midden,100,0
51,Elandsgrachtbuurt,96,4
52,Passeerdersgrachtbuurt,97,3
53,Groenmarktkadebuurt,100,0
54,Marnixbuurt Zuid,70,30
55,Anjeliersbuurt Noord,97,3
56,Anjeliersbuurt Zuid,98,2
58,Leidsebuurt Noordwest,100,0
59,Leidsebuurt Zuidwest,95,5
60,Leidsebuurt Noordoost,98,2
61,Leidsebuurt Zuidoost,100,0
62,Weteringbuurt,92,8
63,Den Texbuurt,98,2
64,Utrechtsebuurt Zuid,97,3
65,Frederikspleinbuurt,92,8
67,Weesperbuurt,98,2
68,Sarphatistrook,88,12
69,de Plantage,95,5
70,Alexanderplein e.o.,100,0
72,Marine-Etablissement,.,.
73,Kattenburg,100,0
74,Wittenburg,94,6
75,Oostenburg,91,9
76,Czaar Peterbuurt,79,21
77,Het Funen,1,99
78,Kazernebuurt,100,0
79,Kadijken,92,8
81,Coenhaven/Mercuriushaven,.,.
82,Alfa-driehoek,.,.
83,Petroleumhaven,.,.
84,Westhaven Noord,.,.
85,Vervoerscentrum,.,.
86,Amerikahaven,.,.
87,Afrikahaven,.,.
88,Westhaven Zuid,.,.
90,Sloterdijk II,.,.
91,Sloterdijk III Oost,.,.
92,Sloterdijk III West,17,83
93,De Heining,.,.
94,Teleport,29,71
95,Bretten Oost,.,.
96,Bretten West,.,.
98,Houthavens West,0,100
99,Houthavens Oost,55,45
101,Zeeheldenbuurt,93,7
102,Spaarndammerbuurt Noordoost,100,0
103,Spaarndammerbuurt Zuidoost,89,11
104,Spaarndammerbuurt Zuidwest,100,0
105,Spaarndammerbuurt Midden,97,3
106,Spaarndammerbuurt Noordwest,100,0
107,Westergasfabriek,.,.
108,Overbraker Binnenpolder,.,.
110,De Wittenbuurt Noord,100,0
111,De Wittenbuurt Zuid,100,0
112,Staatsliedenbuurt Noordoost,100,0
113,Fannius Scholtenbuurt,97,3
114,Westerstaatsman,97,3
115,Buyskade e.o.,66,34
117,Ecowijk,100,0
118,Markthallen,.,.
119,Bedrijvencentrum Westerkwartier,.,.
120,Marcanti,76,24
122,Frederik Hendrikbuurt Noord,99,1
123,Frederik Hendrikbuurt Zuidoost,91,9
124,Frederik Hendrikbuurt Zuidwest,89,11
126,Da Costabuurt Noord,98,2
128,Bellamybuurt Noord,98,2
129,Bellamybuurt Zuid,83,17
131,Da Costabuurt Zuid,99,1
132,Borgerbuurt,100,0
133,Lootsbuurt,94,6
135,Helmersbuurt Oost,99,1
136,WG-terrein,91,9
137,Cremerbuurt Oost,100,0
139,Cremerbuurt West,100,0
140,Vondelparkbuurt West,98,2
142,Vondelparkbuurt Oost,100,0
143,Vondelparkbuurt Midden,100,0
145,Zuidas Noord,1,99
146,RAI,.,.
147,VU-kwartier,97,3
148,Zuidas Zuid,0,100
149,Vivaldi,0,100
151,Hemonybuurt,99,1
152,Gerard Doubuurt,97,3
153,Frans Halsbuurt,98,2
154,Hercules Seghersbuurt,97,3
155,Sarphatiparkbuurt,98,2
157,Willibrordusbuurt,91,9
158,Van der Helstpleinbuurt,89,11
159,Lizzy Ansinghbuurt,100,0
160,Cornelis Troostbuurt,98,2
162,Diamantbuurt,100,0
163,Burgemeester Tellegenbuurt Oost,95,5
164,Burgemeester Tellegenbuurt West,100,0
166,Swammerdambuurt,89,11
167,Weesperzijde Midden/Zuid,90,10
168,Parooldriehoek,100,0
170,Oosterparkbuurt Noordwest,87,13
171,Oosterpark,100,0
172,Oosterparkbuurt Zuidoost,99,1
173,Oosterparkbuurt Zuidwest,94,6
175,Dapperbuurt Noord,93,7
176,Dapperbuurt Zuid,96,4
177,Oostpoort,26,74
179,Transvaalbuurt West,98,2
180,Transvaalbuurt Oost,94,6
182,Noordwestkwadrant Indische buurt Noord,85,15
183,Noordwestkwadrant Indische buurt Zuid,96,4
184,Zuidwestkwadrant Indische buurt,92,8
186,Noordoostkwadrant Indische buurt,93,7
187,Zuidoostkwadrant Indische buurt,91,9
188,Zeeburgerdijk Oost,21,79
189,Flevopark,.,.
191,Oostelijke Handelskade,0,100
192,Rietlanden,19,81
193,Java-eiland,85,15
