,BuurtCode,InwonersTotaal,Leeftijd 0-15,% Leeftijd 0-15,Leeftijd 65+,% Leeftijd 65+,GemiddeldeHuishoudensgrootte,Bevolkingsdichtheid
2,BU03630000,1110,45,4.054054054054054,100,9.00900900900901,     1.4,   18349
3,BU03630001,695,20,2.877697841726619,70,10.071942446043165,     1.4,    7910
4,BU03630002,1645,90,5.47112462006079,180,10.94224924012158,     1.4,   26460
5,BU03630003,365,25,6.8493150684931505,30,8.21917808219178,     1.5,    6883
6,BU03630004,690,40,5.797101449275362,80,11.594202898550725,     1.4,    8161
8,BU03630100,5,5,100.0,0,0.0,     1.8,       .
9,BU03630101,555,25,4.504504504504505,40,7.207207207207207,     1.4,   10097
10,BU03630102,450,15,3.3333333333333335,20,4.444444444444445,     1.3,    8171
11,BU03630103,805,30,3.7267080745341614,70,8.695652173913043,     1.4,   16036
12,BU03630104,765,45,5.88235294117647,45,5.88235294117647,     1.5,    9120
13,BU03630105,720,40,5.555555555555555,70,9.722222222222223,     1.4,   12101
14,BU03630106,410,10,2.4390243902439024,70,17.073170731707318,     1.2,    5862
15,BU03630107,295,10,3.389830508474576,20,6.779661016949152,     1.4,    5644
17,BU03630200,1865,185,9.919571045576408,390,20.91152815013405,     1.6,   19227
18,BU03630201,1800,110,6.111111111111111,265,14.722222222222223,     1.5,   13232
19,BU03630202,2020,120,5.9405940594059405,320,15.841584158415841,     1.5,   12547
20,BU03630203,675,45,6.666666666666667,120,17.77777777777778,     1.6,   12640
22,BU03630300,800,75,9.375,105,13.125,     1.7,   10046
23,BU03630301,145,15,10.344827586206897,30,20.689655172413794,     1.6,    3180
24,BU03630302,1405,105,7.473309608540925,260,18.505338078291814,     1.6,   10834
25,BU03630303,1530,150,9.803921568627452,250,16.33986928104575,     1.7,   13843
26,BU03630304,455,25,5.4945054945054945,45,9.89010989010989,     1.4,    7853
27,BU03630305,395,25,6.329113924050633,10,2.5316455696202533,     1.4,    9831
28,BU03630306,640,45,7.03125,110,17.1875,     1.6,   11781
30,BU03630400,460,60,13.043478260869565,50,10.869565217391305,     1.8,    3698
31,BU03630401,720,55,7.638888888888889,110,15.277777777777779,     1.6,   13494
32,BU03630402,985,100,10.152284263959391,100,10.152284263959391,     1.6,   10734
33,BU03630403,1075,95,8.837209302325581,165,15.348837209302326,     1.6,   20438
34,BU03630404,1595,120,7.523510971786834,450,28.213166144200624,     1.5,   26840
35,BU03630405,1230,85,6.910569105691057,210,17.073170731707318,     1.5,   15338
36,BU03630406,1190,100,8.403361344537815,280,23.52941176470588,     1.5,   17544
37,BU03630407,1495,85,5.68561872909699,335,22.40802675585284,     1.4,   22036
38,BU03630408,860,65,7.55813953488372,175,20.348837209302324,     1.5,    7694
40,BU03630500,1840,240,13.043478260869565,395,21.467391304347828,     1.9,   11429
41,BU03630501,1475,100,6.779661016949152,255,17.28813559322034,     1.5,   15856
42,BU03630502,2425,215,8.8659793814433,440,18.144329896907216,     1.6,   22199
43,BU03630503,2900,305,10.517241379310345,555,19.137931034482758,     1.6,   19010
44,BU03630505,350,30,8.571428571428571,35,10.0,     1.4,   19406
45,BU03630506,170,15,8.823529411764707,30,17.647058823529413,     1.3,   13333
47,BU03630600,2720,205,7.536764705882352,425,15.625,     1.5,   27642
48,BU03630602,2965,270,9.106239460370995,490,16.526138279932546,     1.6,   26089
49,BU03630603,1485,130,8.754208754208754,260,17.50841750841751,     1.5,   26832
50,BU03630604,930,55,5.913978494623656,80,8.60215053763441,     1.3,   26584
51,BU03630605,200,15,7.5,15,7.5,     1.6,   13150
52,BU03630606,4285,330,7.701283547257877,765,17.852975495915985,     1.5,   22706
53,BU03630607,870,55,6.321839080459771,175,20.114942528735632,     1.4,   19062
54,BU03630608,250,5,2.0,15,6.0,     1.5,    7076
55,BU03630609,670,35,5.223880597014925,195,29.1044776119403,     1.3,   16282
56,BU03630610,2080,175,8.413461538461538,370,17.78846153846154,     1.6,   21972
57,BU03630611,2935,225,7.666098807495741,555,18.909710391822827,     1.5,   26545
59,BU03630700,265,15,5.660377358490567,20,7.547169811320755,     1.4,   10678
60,BU03630701,125,5,4.0,15,12.0,     1.4,    4677
61,BU03630702,1030,50,4.854368932038835,65,6.310679611650485,     1.5,   19181
62,BU03630703,285,35,12.280701754385964,45,15.789473684210526,     1.5,    6628
63,BU03630704,2400,265,11.041666666666666,290,12.083333333333334,     1.6,   20214
64,BU03630705,1065,115,10.7981220657277,195,18.30985915492958,     1.8,   11213
65,BU03630706,1210,90,7.43801652892562,215,17.768595041322314,     1.6,   21351
66,BU03630707,930,85,9.13978494623656,150,16.129032258064516,     1.6,    6857
68,BU03630800,3130,195,6.230031948881789,610,19.488817891373802,     1.5,   14769
69,BU03630801,2155,195,9.048723897911833,220,10.208816705336426,     1.6,   11816
70,BU03630803,1855,195,10.512129380053908,335,18.059299191374663,     1.6,    5437
71,BU03630804,395,60,15.18987341772152,40,10.126582278481013,     1.7,    9909
73,BU03630900,80,10,12.5,15,18.75,     1.8,     479
74,BU03630901,1685,160,9.495548961424333,375,22.255192878338278,     1.6,   18896
75,BU03630902,2630,230,8.745247148288973,380,14.44866920152091,     1.6,   21186
76,BU03630903,1775,190,10.704225352112676,245,13.802816901408452,     1.7,    8800
77,BU03630904,2360,245,10.38135593220339,245,10.38135593220339,     1.6,   22713
78,BU03630905,1295,265,20.463320463320464,130,10.038610038610038,     2.1,   17568
79,BU03630907,935,60,6.417112299465241,220,23.52941176470588,     1.5,   17178
80,BU03630908,2935,255,8.68824531516184,625,21.29471890971039,     1.6,   17278
82,BU03631000,95,5,5.263157894736842,5,5.263157894736842,     1.1,      66
83,BU03631001,0,0,,0,,       .,       .
84,BU03631002,0,0,,5,inf,     1.0,       .
85,BU03631003,30,5,16.666666666666664,10,33.33333333333333,     1.7,       9
86,BU03631004,0,0,,0,,     1.0,       .
87,BU03631005,0,0,,0,,     1.0,       .
