,neighborhood,incident,nr_of_inspections_within_timeline,nr_of_inspections_with_observation,nr_of_inspections_without_observation
0,AMC,1,0,0,0
1,Aalsmeerwegbuurt Oost,5,11,1,10
2,Aalsmeerwegbuurt West,1,5,1,4
3,Aetsveld Noord,0,0,0,0
4,Aetsveld Zuid,0,0,0,0
5,Aetsveldsepolder,0,0,0,0
6,Afrikahaven,1,0,0,0
7,Alexanderplein e.o.,0,9,4,5
8,Alfa-driehoek,0,0,0,0
9,Amerikahaven,5,0,0,0
10,Amstel I Noord,3,0,0,0
11,Amstel I Zuid,3,0,0,0
12,Amstel III deel A/B Noord,2,32,19,13
13,Amstel III deel A/B Zuid,3,1,0,1
14,Amstel III deel C/D Noord,3,2,2,0
15,Amstel III deel C/D Zuid,0,2,2,0
16,Amstelglorie,0,0,0,0
17,Amstelkwartier Noord,3,0,0,0
18,Amstelkwartier West,1,0,0,0
19,Amstelkwartier Zuid,2,0,0,0
20,Amstelpark,0,0,0,0
21,Amstelveldbuurt,0,56,26,30
22,Amsterdamse Bos,0,0,0,0
23,Amsterdamse Poort,8,8,3,5
24,Andreasterrein,0,0,0,0
25,Anjeliersbuurt,5,61,35,26
26,Anjeliersbuurt Noord,2,23,7,16
27,Anjeliersbuurt Zuid,3,38,28,10
28,Architectenbuurt,6,0,0,0
29,BG-terrein e.o.,3,95,50,45
30,Baanakkerspark Noord,0,0,0,0
31,Baanakkerspark Zuid,1,0,0,0
32,Balboaplein e.o.,10,11,6,5
33,Banne Noordoost,5,11,5,6
34,Banne Noordwest,7,15,4,11
35,Banne Zuidoost,7,50,6,44
36,Banne Zuidwest,14,13,1,12
37,Banpleinbuurt,3,55,12,43
38,Bedrijvencentrum Osdorp,4,0,0,0
39,Bedrijvencentrum Westerkwartier,0,10,6,4
40,Bedrijvencentrum Westerpark,0,10,6,4
41,Bedrijvengebied Cruquiusweg,1,0,0,0
42,Bedrijvengebied Veelaan,1,0,0,0
43,Bedrijvengebied Zeeburgerkade,0,0,0,0
44,Bedrijvenpark Lutkemeer,0,0,0,0
45,Bedrijventerrein Hamerstraat,2,17,3,14
46,Bedrijventerrein Landlust,3,0,0,0
47,Bedrijventerrein Nieuwendammerdijk,0,0,0,0
48,Bedrijventerrein Nijverheidslaan,0,0,0,0
49,Bedrijventerrein Noord Weesp,0,0,0,0
50,Bedrijventerrein Schinkel,0,1,0,1
51,Bedrijventerrein Sloterdijk I,2,0,0,0
52,Bedrijventerrein Van Houten,0,0,0,0
53,Beethovenbuurt,4,13,7,6
54,Begijnhofbuurt,7,42,26,16
55,BelgiÃ«plein e.o.,2,0,0,0
56,Bellamybuurt Noord,6,34,6,28
57,Bellamybuurt Zuid,12,9,6,3
58,Bertelmanpleinbuurt,3,11,0,11
59,Betondorp,9,0,0,0
60,Bijlmermuseum Noord,0,0,0,0
61,Bijlmermuseum Zuid,8,0,0,0
62,Bijlmerpark Oost,0,0,0,0
63,Bijlmerpark West,1,0,0,0
64,Blauwe Zand,7,6,4,2
65,Bloemenbuurt Noord,2,10,1,9
66,Bloemenbuurt Zuid,3,43,11,32
67,Bloemgrachtbuurt,11,14,4,10
68,Borgerbuurt,6,30,17,13
69,Borneo,8,0,0,0
70,Bosleeuw,19,27,21,6
71,Bretten Oost,1,0,0,0
72,Bretten West,0,0,0,0
73,Buiksloterbreek,0,0,0,0
74,Buiksloterdijk Oost,1,0,0,0
75,Buiksloterdijk West,0,1,0,1
76,Buiksloterham,2,15,2,13
77,Buikslotermeer Noord,8,27,4,23
78,Buikslotermeerplein,5,40,6,34
79,Buikslotermeerpleinbuurt,16,66,13,53
80,Buitenveldert Midden Zuid,6,33,7,26
81,Buitenveldert Oost Midden,9,0,0,0
82,Buitenveldert West Midden,1,15,1,14
83,Buitenveldert Zuidoost,5,8,1,7
84,Buitenveldert Zuidwest,5,25,6,19
85,Buitsloterdijk Oost,1,0,0,0
86,Burgemeester Tellegenbuurt Oost,10,11,3,8
87,Burgemeester Tellegenbuurt West,6,11,2,9
88,Burgwallen Oost,8,56,26,30
89,Buurt 10,1,0,0,0
90,Buurt 2,5,0,0,0
91,Buurt 3,12,0,0,0
92,Buurt 4 Oost,12,0,0,0
93,Buurt 5 Noord,9,0,0,0
94,Buurt 5 Zuid,15,0,0,0
95,Buurt 6,13,0,0,0
96,Buurt 7,2,0,0,0
97,Buurt 8,11,0,0,0
98,Buurt 9,7,0,0,0
99,Buyskade e.o.,9,0,0,0
100,Calandlaan/Lelylaan,0,0,0,0
101,Centrum Weesp,0,0,0,0
102,Centrumeiland,2,0,0,0
103,Circus/Kermisbuurt,0,0,0,0
104,Coenhaven/Mercuriushaven,2,0,0,0
105,Columbusplein e.o.,9,6,5,1
106,Concertgebouwbuurt,5,56,14,42
107,Cornelis Douwesterrein,2,39,6,33
108,Cornelis Schuijtbuurt,8,60,20,40
109,Cornelis Schuytbuurt,8,60,20,40
110,Cornelis Troostbuurt,9,45,11,34
111,Cremerbuurt Oost,5,10,2,8
112,Cremerbuurt West,16,30,18,12
113,Czaar Peterbuurt,10,48,28,20
114,D-buurt,7,0,0,0
115,Da Costabuurt Noord,12,45,21,24
116,Da Costabuurt Zuid,5,9,4,5
117,Dapperbuurt Noord,12,0,0,0
118,Dapperbuurt Zuid,14,0,0,0
119,De Aker Oost,3,0,0,0
120,De Aker West,2,0,0,0
121,De Bongerd,0,4,0,4
122,De Eenhoorn,14,0,0,0
123,De Heining,4,0,0,0
124,De Kleine Wereld,11,22,11,11
125,De Klenckebuurt,1,3,0,3
126,De Klomp,0,0,0,0
127,De Omval,2,0,0,0
128,De Punt,10,0,0,0
129,De Weeren,0,7,2,5
130,De Wester Quartier,3,6,1,5
131,De Wetbuurt,2,0,0,0
132,De Wittenbuurt Noord,1,28,12,16
133,De Wittenbuurt Zuid,2,4,3,1
134,Delflandpleinbuurt Oost,12,0,0,0
135,Delflandpleinbuurt West,12,0,0,0
136,Den Texbuurt,0,37,17,20
137,Diamantbuurt,11,17,1,16
138,Dichtersbuurt Weesp,0,0,0,0
139,Diepenbrockbuurt,2,30,8,22
140,Don Bosco,2,0,0,0
141,Dorp Driemond,0,2,0,2
142,Dorp Sloten,3,0,0,0
143,Drieburg,1,0,0,0
144,Driehoekbuurt,4,29,11,18
145,Duivelseiland,4,9,3,6
146,Durgerdam,3,23,6,17
147,E-buurt,2,18,13,5
148,Ecowijk,1,3,0,3
149,Eendrachtspark,1,0,0,0
150,Elandsgrachtbuurt,14,52,19,33
151,Elzenhagen,1,3,0,3
152,Elzenhagen Noord,2,11,0,11
153,Elzenhagen Zuid,1,3,0,3
154,Emanuel van Meterenbuurt,5,0,0,0
155,Entrepot-Noordwest,3,0,0,0
156,Erasmusparkbuurt Oost,4,4,3,1
157,Erasmusparkbuurt West,14,7,2,5
158,F-buurt,7,0,0,0
159,Fannius Scholtenbuurt,8,16,6,10
160,Felix Meritisbuurt,11,117,57,60
161,Filips van Almondekwartier,2,15,4,11
162,Flevopark,1,0,0,0
163,Frankendael,0,0,0,0
164,Frans Halsbuurt,3,25,13,12
165,Frederik Hendrikbuurt Noord,8,48,19,29
166,Frederik Hendrikbuurt Zuidoost,13,8,5,3
167,Frederik Hendrikbuurt Zuidwest,3,0,0,0
168,Frederikspleinbuurt,2,73,34,39
169,G-buurt Noord,6,0,0,0
170,G-buurt Oost,12,9,6,3
171,G-buurt West,10,24,17,7
172,Gaasperdam Noord,4,15,5,10
173,Gaasperdam Zuid,5,26,16,10
174,Gaasperpark,1,7,4,3
175,Gaasperplas,0,0,0,0
